Time, x, der_x
0.0000, 5.0000, -5.0000
0.0500, 4.7561, -4.7561
0.1000, 4.5242, -4.5242
0.1500, 4.3035, -4.3035
0.2000, 4.0937, -4.0937
0.2500, 3.8940, -3.8940
0.3000, 3.7041, -3.7041
0.3500, 3.5234, -3.5234
0.4000, 3.3516, -3.3516
0.4500, 3.1881, -3.1881
0.5000, 3.0327, -3.0327
0.5500, 2.8847, -2.8847
0.6000, 2.7441, -2.7441
0.6500, 2.6102, -2.6102
0.7000, 2.4829, -2.4829
0.7500, 2.3618, -2.3618
0.8000, 2.2466, -2.2466
0.8500, 2.1371, -2.1371
0.9000, 2.0328, -2.0328
0.9500, 1.9337, -1.9337
1.0000, 1.8394, -1.8394
1.0500, 1.7497, -1.7497
1.1000, 1.6644, -1.6644
1.1500, 1.5832, -1.5832
1.2000, 1.5060, -1.5060
1.2500, 1.4325, -1.4325
1.3000, 1.3627, -1.3627
1.3500, 1.2962, -1.2962
1.4000, 1.2330, -1.2330
1.4500, 1.1729, -1.1729
1.5000, 1.1157, -1.1157
1.5500, 1.0612, -1.0612
1.6000, 1.0095, -1.0095
1.6500, 0.9602, -0.9602
1.7000, 0.9134, -0.9134
1.7500, 0.8689, -0.8689
1.8000, 0.8265, -0.8265
1.8500, 0.7862, -0.7862
1.9000, 0.7478, -0.7478
1.9500, 0.7114, -0.7114
2.0000, 0.6767, -0.6767
2.0500, 0.6437, -0.6437
2.1000, 0.6123, -0.6123
2.1500, 0.5824, -0.5824
2.2000, 0.5540, -0.5540
2.2500, 0.5270, -0.5270
2.3000, 0.5013, -0.5013
2.3500, 0.4768, -0.4768
2.4000, 0.4536, -0.4536
2.4500, 0.4315, -0.4315
2.5000, 0.4104, -0.4104
2.5500, 0.3904, -0.3904
2.6000, 0.3714, -0.3714
2.6500, 0.3533, -0.3533
2.7000, 0.3360, -0.3360
2.7500, 0.3196, -0.3196
2.8000, 0.3041, -0.3041
2.8500, 0.2892, -0.2892
2.9000, 0.2751, -0.2751
2.9500, 0.2617, -0.2617
3.0000, 0.2489, -0.2489
3.0500, 0.2368, -0.2368
3.1000, 0.2252, -0.2252
3.1500, 0.2143, -0.2143
3.2000, 0.2038, -0.2038
3.2500, 0.1939, -0.1939
3.3000, 0.1844, -0.1844
3.3500, 0.1754, -0.1754
3.4000, 0.1669, -0.1669
3.4500, 0.1587, -0.1587
3.5000, 0.1510, -0.1510
3.5500, 0.1436, -0.1436
3.6000, 0.1366, -0.1366
3.6500, 0.1300, -0.1300
3.7000, 0.1236, -0.1236
3.7500, 0.1176, -0.1176
3.8000, 0.1119, -0.1119
3.8500, 0.1064, -0.1064
3.9000, 0.1012, -0.1012
3.9500, 0.0963, -0.0963
4.0000, 0.0916, -0.0916
4.0500, 0.0871, -0.0871
4.1000, 0.0829, -0.0829
4.1500, 0.0788, -0.0788
4.2000, 0.0750, -0.0750
4.2500, 0.0713, -0.0713
4.3000, 0.0678, -0.0678
4.3500, 0.0645, -0.0645
4.4000, 0.0614, -0.0614
4.4500, 0.0584, -0.0584
4.5000, 0.0555, -0.0555
4.5500, 0.0528, -0.0528
4.6000, 0.0503, -0.0503
4.6500, 0.0478, -0.0478
4.7000, 0.0455, -0.0455
4.7500, 0.0433, -0.0433
4.8000, 0.0411, -0.0411
4.8500, 0.0391, -0.0391
4.9000, 0.0372, -0.0372
4.9500, 0.0354, -0.0354
5.0000, 0.0337, -0.0337
5.0500, 0.0320, -0.0320
5.1000, 0.0305, -0.0305
5.1500, 0.0290, -0.0290
5.2000, 0.0276, -0.0276
5.2500, 0.0262, -0.0262
5.3000, 0.0250, -0.0250
5.3500, 0.0237, -0.0237
5.4000, 0.0226, -0.0226
5.4500, 0.0215, -0.0215
5.5000, 0.0204, -0.0204
5.5500, 0.0194, -0.0194
5.6000, 0.0185, -0.0185
5.6500, 0.0176, -0.0176
5.7000, 0.0167, -0.0167
5.7500, 0.0159, -0.0159
5.8000, 0.0151, -0.0151
5.8500, 0.0144, -0.0144
5.9000, 0.0137, -0.0137
5.9500, 0.0130, -0.0130
6.0000, 0.0124, -0.0124
6.0500, 0.0118, -0.0118
6.1000, 0.0112, -0.0112
6.1500, 0.0107, -0.0107
6.2000, 0.0101, -0.0101
6.2500, 0.0097, -0.0097
6.3000, 0.0092, -0.0092
6.3500, 0.0087, -0.0087
6.4000, 0.0083, -0.0083
6.4500, 0.0079, -0.0079
6.5000, 0.0075, -0.0075
6.5500, 0.0072, -0.0072
6.6000, 0.0068, -0.0068
6.6500, 0.0065, -0.0065
6.7000, 0.0062, -0.0062
6.7500, 0.0059, -0.0059
6.8000, 0.0056, -0.0056
6.8500, 0.0053, -0.0053
6.9000, 0.0050, -0.0050
6.9500, 0.0048, -0.0048
7.0000, 0.0046, -0.0046
7.0500, 0.0043, -0.0043
7.1000, 0.0041, -0.0041
7.1500, 0.0039, -0.0039
7.2000, 0.0037, -0.0037
7.2500, 0.0036, -0.0036
7.3000, 0.0034, -0.0034
7.3500, 0.0032, -0.0032
7.4000, 0.0031, -0.0031
7.4500, 0.0029, -0.0029
7.5000, 0.0028, -0.0028
7.5500, 0.0026, -0.0026
7.6000, 0.0025, -0.0025
7.6500, 0.0024, -0.0024
7.7000, 0.0023, -0.0023
7.7500, 0.0022, -0.0022
7.8000, 0.0020, -0.0020
7.8500, 0.0019, -0.0019
7.9000, 0.0019, -0.0019
7.9500, 0.0018, -0.0018
8.0000, 0.0017, -0.0017
8.0500, 0.0016, -0.0016
8.1000, 0.0015, -0.0015
8.1500, 0.0014, -0.0014
8.2000, 0.0014, -0.0014
8.2500, 0.0013, -0.0013
8.3000, 0.0012, -0.0012
8.3500, 0.0012, -0.0012
8.4000, 0.0011, -0.0011
8.4500, 0.0011, -0.0011
8.5000, 0.0010, -0.0010
8.5500, 0.0010, -0.0010
8.6000, 0.0009, -0.0009
8.6500, 0.0009, -0.0009
8.7000, 0.0008, -0.0008
8.7500, 0.0008, -0.0008
8.8000, 0.0008, -0.0008
8.8500, 0.0007, -0.0007
8.9000, 0.0007, -0.0007
8.9500, 0.0006, -0.0006
9.0000, 0.0006, -0.0006
9.0500, 0.0006, -0.0006
9.1000, 0.0006, -0.0006
9.1500, 0.0005, -0.0005
9.2000, 0.0005, -0.0005
9.2500, 0.0005, -0.0005
